condition,model_name,model_type,fold,r2,mse,rmse
pn,Base,LM,0,0.2293854768961836,10.450340727704434,3.232698675674
pn,Base + Race 1,LM,0,0.22914611053647682,10.47472184596968,3.2364674949657197
pn,Base + Race 2,LM,0,0.23220094625140308,10.590690437943266,3.2543341005408872
pn,Base,LM,1,0.2398362459980138,10.029062970946324,3.16686958540233
pn,Base + Race 1,LM,1,0.2393849153049754,10.026601098901015,3.166480869814472
pn,Base + Race 2,LM,1,0.24136953553947127,10.032729110531552,3.1674483595682426
pn,Base,LM,2,0.22737124837565503,7.869820102254842,2.8053199643275706
pn,Base + Race 1,LM,2,0.22693432756840148,7.86732176953858,2.8048746441754897
pn,Base + Race 2,LM,2,0.2301756828824736,8.039110928662334,2.835332595774671
pn,Base,LM,3,0.23858344554483502,8.256384883454404,2.873392573849665
pn,Base + Race 1,LM,3,0.23813038433975187,8.259906127955473,2.8740052414627697
pn,Base + Race 2,LM,3,0.23913579031232268,8.180770279732839,2.86020458704143
pn,Base,LM,4,0.2271520088871345,9.446952980503509,3.073589592073657
pn,Base + Race 1,LM,4,0.22668965297350852,9.446341534677458,3.0734901227557994
pn,Base + Race 2,LM,4,0.22878431210170846,9.455950789157258,3.0750529733904193
pn,Base,LM,5,0.2145532788245853,10.506216423077055,3.2413294221780444
pn,Base + Race 1,LM,5,0.21426569709015886,10.524258273215947,3.244111322568316
pn,Base + Race 2,LM,5,0.2153680851514772,10.449939213964239,3.2326365731341093
pn,Base,LM,6,0.24429057345652638,9.565225545311721,3.0927698823727123
pn,Base + Race 1,LM,6,0.2438939117978891,9.565504947392489,3.092815052244878
pn,Base + Race 2,LM,6,0.24668725748883502,9.665241557600869,3.1088971609882607
pn,Base,LM,7,0.22631883436925815,8.111334330807024,2.848040437003489
pn,Base + Race 1,LM,7,0.2258619612295043,8.116987003966148,2.8490326435416895
pn,Base + Race 2,LM,7,0.22780118469505795,8.120704617982701,2.8496850032911887
pn,Base,LM,8,0.2265348276021184,8.326572049890123,2.885580019665045
pn,Base + Race 1,LM,8,0.2261351083183153,8.32691454888044,2.8856393657005097
pn,Base + Race 2,LM,8,0.22694415585678673,8.222551440416277,2.8674991613627854
pn,Base,LM,9,0.23941235938590444,7.946897845546247,2.8190242718973257
pn,Base + Race 1,LM,9,0.23953637477637768,8.039448409396542,2.835392108579789
pn,Base + Race 2,LM,9,0.23946964272104554,7.835046580335116,2.7991153210139657
pn,Base,RF,0,0.22226000486421993,9.020879385053497,3.0034778815655523
pn,Base + Race 1,RF,0,0.23550884284662676,8.86720827365522,2.977785800499294
pn,Base + Race 2,RF,0,0.23804619218621892,8.837777972406265,2.972840051601543
pn,Base,RF,1,0.18611588154241165,8.688952902502166,2.947702987497581
pn,Base + Race 1,RF,1,0.20754690469013182,8.460157246511397,2.9086349455563165
pn,Base + Race 2,RF,1,0.22078956641268455,8.318779793134997,2.8842294973068627
pn,Base,RF,2,0.16483912089794395,10.70092207690141,3.271226387289851
pn,Base + Race 1,RF,2,0.16968403710070146,10.638844132337521,3.2617241042641116
pn,Base + Race 2,RF,2,0.18419769154078214,10.452880578367703,3.2330914893283955
pn,Base,RF,3,0.1817505752748897,8.203874216625378,2.864240600338138
pn,Base + Race 1,RF,3,0.1913764147865662,8.107364308769657,2.8473433773905206
pn,Base + Race 2,RF,3,0.19414822549656507,8.079573777264224,2.842459107404049
pn,Base,RF,4,0.2534203663645168,9.13854867798287,3.023003254709275
pn,Base + Race 1,RF,4,0.2625165880759198,9.02720588057679,3.0045308919325144
pn,Base + Race 2,RF,4,0.2738916136481,8.887969260367267,2.981269739618887
pn,Base,RF,5,0.22196985174057515,9.050452212373315,3.0083969505989923
pn,Base + Race 1,RF,5,0.23033184811782537,8.953181112041728,2.9921866773384522
pn,Base + Race 2,RF,5,0.2408463295321518,8.83087118383247,2.9716781763563276
pn,Base,RF,6,0.21375145451691036,8.944611490436063,2.9907543346848238
pn,Base + Race 1,RF,6,0.21970695985346267,8.876859782950298,2.9794059446390144
pn,Base + Race 2,RF,6,0.22837569676500924,8.778241497127022,2.962809730159367
pn,Base,RF,7,0.10871846512249916,10.448594195497952,3.232428529062623
pn,Base + Race 1,RF,7,0.13217046934533005,10.173663698672229,3.1896181117294007
pn,Base + Race 2,RF,7,0.1417419772751547,10.061455829122375,3.1719797964555787
pn,Base,RF,8,0.3205936037111724,8.953067220273141,2.992167645750007
pn,Base + Race 1,RF,8,0.34020355388160195,8.69465163422466,2.9486694684594035
pn,Base + Race 2,RF,8,0.3297955202441849,8.831806399466295,2.971835526987706
pn,Base,RF,9,0.1623205155436105,8.781092322091155,2.963290792698407
pn,Base + Race 1,RF,9,0.16355747223000916,8.768125750671844,2.9611021175690384
pn,Base + Race 2,RF,9,0.18386328948480812,8.555267182092225,2.9249388339061424
