facility_id,total_covered_charges,avg_covered_charges_py,total_payment_amount,avg_payment_amount_py,total_medicare_payment_amount,avg_medicare_payment_amount_py,total_discharges,avg_discharges_py,total_medicare_beneficiaries,avg_medicare_beneficiaries_py,total_covered_days,avg_covered_days_py,total_days,avg_days_py,beneficiary_avg_age,number_beneficiaries_under_65,avg_number_beneficiaries_under_65_py,number_beneficiaries_65_to_74,avg_number_beneficiaries_65_to_74_py,number_beneficiaries_75_to_84,avg_number_beneficiaries_75_to_84_py,number_beneficiaries_85_over,avg_number_beneficiaries_85_over_py,number_female_beneficiaries,avg_number_female_beneficiaries_py,number_male_beneficiaries,avg_number_male_beneficiaries_py,number_white_beneficiaries,avg_number_white_beneficiaries_py,number_black_beneficiaries,avg_number_black_beneficiaries_py,number_asian_pi_beneficiaries,avg_number_asian_pi_beneficiaries_py,number_hispanic_beneficiaries,avg_number_hispanic_beneficiaries_py,number_american_indian_beneficiaries,avg_number_american_indian_beneficiaries_py,number_other_race_beneficiaries,avg_number_other_race_beneficiaries_py,number_beneficiaries_medicare_medicaid,avg_number_beneficiaries_medicare_medicaid_py,number_beneficiaries_medicare_only,avg_number_beneficiaries_medicare_only_py,pct_beneficiaries_afib,pct_beneficiaries_alzheimers,pct_beneficiaries_cancer,pct_beneficiaries_congestive_heart_failure,pct_beneficiaries_chronic_kidney_disease,pct_beneficiaries_copd,pct_beneficiaries_depression,pct_beneficiaries_diabetes,pct_beneficiaries_hyperlipidemia,pct_beneficiaries_hypertension,pct_beneficiaries_ischemic_heart_disease,pct_beneficiaries_osteoporosis,pct_beneficiaries_arthritis,pct_beneficiaries_psychotic_disorders,pct_beneficiaries_stroke,average_hcc_beneficiary_risk_score,avg_hcc_beneficiary_risk_score
110083,3306971348.0,826742837.0,638515620.0,159628905.0,469094568.0,117273642.0,31516,7879.0,23236.0,5809.0,176957.0,44239.25,185456.0,46364.0,71.76742985216688,4342.0,1085.5,8847.0,2211.75,6732.0,1683.0,3315.0,828.75,11535.0,2883.75,11701.0,2925.2500000000005,15894.0,3973.5,6191.0,1547.75,208.0,52.00000000000001,409.0,102.24999999999999,,,,,4115.0,1028.75,19121.0,4780.25,0.2397142366520055,0.19762437603511793,0.17860216932587364,0.4792563262619641,0.6489929422367877,0.23515235003098642,0.3040970909258048,0.42920468240841797,0.7436951284531331,0.75,0.5843518679337666,0.09227061442787056,0.4763728697602427,0.027715614159967292,0.1239456014861422,2.544414879198055,2.543220117
110086,6027701.0,1506925.25,5428035.0,1357008.75,4776860.0,1194215.0,535,133.75,448.0,112.0,1847.0,461.75,1858.0,464.5,76.14955357071429,60.0,15.0,133.0,33.25,124.0,31.0,131.0,32.75,227.0,56.75,221.0,55.25,299.0,74.75,146.0,36.5,,,,,,,,,139.0,34.75,309.0,77.25,0.1964285713125,0.3816964286696428,0.11607142862946428,0.5089285716183036,0.6674107144464286,0.3638392858258928,0.3616071430022321,0.4642857142924108,0.5535714286049107,0.75,0.5089285714821429,0.060267857,0.4397321429553571,0.06249999984375,0.11160714266517857,1.8683402646294645,1.860426161
110087,1544739655.0,386184913.75,372572370.0,93143092.5,323762732.0,80940683.0,23650,5912.5,17094.0,4273.5,133159.0,33289.75,136123.0,34030.75,74.46466596371242,2455.0,613.75,5679.0,1419.75,5330.0,1332.5,3630.0,907.5,9384.0,2346.0,7710.0,1927.5000000000002,12086.0,3021.5,3019.0,754.75,806.0,201.5,824.0,206.0,,,,,3659.0,914.75,13435.0,3358.75,0.24201474198952846,0.3104598103496548,0.16812916812758863,0.4261729263317538,0.6424476424341289,0.32648882628050785,0.3475488476656721,0.44881244892026445,0.7142272142658826,0.75,0.5420615421003862,0.10553410556318008,0.46899496900228144,0.05148005172645372,0.14870714895015796,2.3124980639993566,2.31249646625
110089,192429935.0,48107483.75,48950910.0,12237727.5,42470000.0,10617500.0,5246,1311.5,3371.0,842.75,23066.0,5766.5,23394.0,5848.5,71.72144764205576,750.0,187.5,1145.0,286.25,942.0,235.5,534.0,133.5,1843.0,460.75,1528.0,382.0,2659.0,664.75,614.0,153.5,,,62.0,15.499999999999998,,,,,1470.0,367.5,1901.0,475.25,0.2037970926214773,0.29101156922693566,0.1228122217807772,0.5805398992207059,0.6547018690308514,0.48857905658736284,0.32334618805191334,0.4948086621397212,0.7066152475657076,0.75,0.5867695045713438,0.07416196945921091,0.5660041528878671,0.06407594205784634,0.10560664487244141,2.437852940551172,2.4318400000000002
110091,399402990.0,99850747.5,88482229.0,22120557.25,74530467.0,18632616.75,7498,1874.5,5431.0,1357.75,36204.0,9051.0,37524.0,9381.0,71.90591051293131,1165.0,291.25,1849.0,462.25,1500.0,375.0,917.0,229.25,3036.0,759.0,2395.0,598.75,3052.0,763.0,2195.0,548.75,11.0,2.7499999999999996,90.0,22.5,,,26.0,6.5,1551.0,387.75000000000006,3880.0,970.0,0.1848646660136255,0.2596206962250046,0.15724544271920457,0.50322224293979,0.7123457925455717,0.3038114526790646,0.3225925244244154,0.493831706819002,0.6943472657146014,0.75,0.5380224637175475,0.07475603023826183,0.48941263153489234,0.04953047317252808,0.14159454965917878,2.546244188468974,2.5512284555
110092,34879567.0,8719891.75,15028803.0,3757200.75,12657790.0,3164447.5,1447,361.75,1159.0,289.75,7932.0,1983.0,8111.0,2027.75,73.24417601577221,233.0,58.25,359.0,89.75,363.0,90.75,204.0,51.0,644.0,161.0,515.0,128.75,907.0,226.75,232.0,58.0,,,,,,,,,584.0,146.0,575.0,143.75,0.18377911995599655,0.36151855043054354,0.12942191535634168,0.44348576369801557,0.6384814492769629,0.4331320107040552,0.427092320704918,0.4987057808464193,0.6419327004460742,0.75,0.5927523727558239,0.07420189832528042,0.540120793728214,0.11302847306039689,0.10612597063934426,1.8891641587618635,1.8820005815
110095,475919863.0,118979965.75,118164818.0,29541204.5,102626779.0,25656694.75,9659,2414.75,6775.0,1693.75,53948.0,13487.0,54486.0,13621.5,72.85180811648708,1334.0,333.5,2200.0,550.0,2052.0,513.0,1189.0,297.25,3567.0,891.75,3208.0,802.0,5341.0,1335.25,1253.0,313.25,,,134.0,33.5,,,11.0,2.75,2676.0,669.0,4099.0,1024.75,0.2277490774999262,0.285461254822583,0.12693726929151292,0.40531365328560887,0.6335055351287084,0.37062730637476016,0.33815498186199267,0.4720295203554244,0.6983025830786715,0.75,0.4993357934575645,0.10199262012,0.5291512916075277,0.06376383769741698,0.11483394855232472,2.2315830873447973,2.231783879
110100,6127680.0,1531920.0,4993740.0,1248435.0,4292101.0,1073025.25,604,151.0,475.0,118.75,2320.0,580.0,2352.0,588.0,78.08421052730526,27.0,6.75,138.0,34.5,155.0,38.75,82.0,20.5,277.0,69.25,198.0,49.5,278.0,69.5,193.0,48.25,,,,,,,,,185.0,46.25,290.0,72.5,0.14947368443578948,0.4042105261957895,0.09894736860421052,0.4736842105494737,0.576842105585263,0.3515789471136842,0.2652631581052632,0.48842105256421053,0.6736842104778947,0.75,0.5263157896589474,0.06105263179789474,0.5431578947031579,0.0884210524863158,0.1557894735073684,1.6841213389052634,1.6895144615
110101,4535262.0,1133815.5,2987382.0,746845.5,2626353.0,656588.25,249,62.25,224.0,56.0,792.0,198.0,811.0,202.75,76.25,14.0,3.5,49.0,12.25,83.0,20.75,25.0,6.25,136.0,34.0,88.0,22.0,196.0,49.0,12.0,3.0,,,,,,,,,97.0,24.25,127.0,31.75,0.21428571451339287,0.4910714285357143,0.12500000004464287,0.3839285714419643,0.6383928570491071,0.44642857152678567,0.3794642857991071,0.4553571429910714,0.6718750002589287,0.75,0.45535714280803574,0.08928571404464285,0.5848214283526786,0.14732142876339285,0.0892857142142857,1.6436374892946428,1.61816838425
110104,87163564.0,21790891.0,36226993.0,9056748.25,31180299.0,7795074.75,3257,814.25,2206.0,551.5,15774.0,3943.5,16002.0,4000.5,72.46146872414778,461.0,115.25,709.0,177.25,644.0,161.0,392.0,98.00000000000001,1191.0,297.75,1015.0,253.75,1542.0,385.5,632.0,158.0,,,,,,,,,934.0,233.5,1272.0,318.0,0.18313689927787852,0.31912964661378057,0.11740707163417952,0.5072529464170443,0.6382592929052584,0.46237533995376245,0.3000906617923844,0.5167724387493201,0.6749773344446963,0.75,0.5258386219206709,0.1459655486124207,0.4519492291473255,0.0874886674514959,0.16817769750317316,2.4995359366849503,2.48309180475
110105,195704470.0,48926117.5,68081440.0,17020360.0,54731255.0,13682813.75,6142,1535.5,4026.0,1006.5,30030.0,7507.5,30399.0,7599.75,70.61773472536015,1107.0,276.75,1264.0,316.0,1035.0,258.75,620.0,155.0,2109.0,527.25,1917.0,479.25,3142.0,785.5,751.0,187.75,,,90.0,22.5,,,18.0,4.5,1617.0,404.25,2409.0,602.25,0.19100844508892204,0.2990561350978639,0.10457029308544462,0.50099354185693,0.5765027325136611,0.39567809262096376,0.4195230998852459,0.4724292100745157,0.6736214604222553,0.75,0.48758072553899656,0.07774465942573275,0.5086934924525583,0.10606060608147044,0.10953800310134129,2.3292450198782912,2.3208609360000003
110107,1811662557.0,452915639.25,455678559.0,113919639.75,370076193.0,92519048.25,25811,6452.75,19433.0,4858.25,167944.0,41986.0,174638.0,43659.5,71.91231410763855,3899.0,974.75,7063.0,1765.75,5627.0,1406.75,2844.0,711.0,9593.0,2398.25,9840.0,2460.0,13101.0,3275.25,5863.0,1465.75,75.0,18.75,163.0,40.75,,,,,5433.0,1358.2499999999998,14000.0,3500.0,0.25075901859573924,0.2604332838034272,0.15571450625482428,0.5099058300848557,0.6734935421107395,0.32362476204868007,0.31461946186574385,0.5032161787176453,0.7494210879110276,0.75,0.6410744607836669,0.07430659209015593,0.4766119488070293,0.05665620342854937,0.18360520750434828,2.5067750201823187,2.50158811875
110109,30064495.0,7516123.75,12383971.0,3095992.75,10625342.0,2656335.5,1265,316.25,1008.0,252.0,4431.0,1107.75,4520.0,1130.0,74.04265872975198,173.0,43.25,328.0,82.0,324.0,81.0,183.0,45.75,607.0,151.75,401.0,100.25,755.0,188.75,235.0,58.75,,,,,,,,,505.0,126.25,503.0,125.75,0.1597222221190476,0.37499999995734123,0.09523809517361112,0.6051587301051587,0.6577380951865079,0.4910714284990079,0.4325396825922619,0.4811507939017857,0.5565476193005952,0.75,0.5089285715188492,0.059523809687500005,0.510912698281746,0.1250000000267857,0.09027777773908731,2.154851397815476,2.1589200625
